,Name,Rating,Link,Distance,Location,About
10,"Tsuglagkhang, Mcleodganj",3.2,https://www.holidify.com/places/mcleodganj/tsuglagkhang-sightseeing-2835.html,2 km  from city center,,"This is the place where the Dalai Lama resides. This complex has a monastery, various stupas and temples, bookstore and a cafe'''' which will attract devotees from all over the world and serve tourists as well."
11,Bhagsu falls,3.2,https://www.holidify.com/places/mcleodganj/bhagsu-falls-sightseeing-2817.html,5 km  from city center,,"The Bhagsu Falls are situated 2 km away from McLeodganj. Set amidst lush greenery and nature in its most pristine form, these falls are majestic and grand and should not be missed by all tourists travelling here."
12,Trekking in Dharamsala,3.2,https://www.holidify.com/places/mcleodganj/trekking-sightseeing-2832.html,3 km  from city center,,"There are different ventures or institutes which organizes treks here, you will be accompanied with well experienced guides and trekking experts."
13,"Namgyal Monastery, Mcleodganj",3.2,https://www.holidify.com/places/mcleodganj/namgyal-monastery-sightseeing-2830.html,3 km  from city center,,"Overlooking the mountain ranges of Dhauladhar, the Namgyal Monastery is situated within the Tsuglagkhang complex. This complex also is the proud home to the residence of Dalai Lama, among various other shrines, temples, bookstores, souvenir shops etc."
14,Bhagsu nath temple,3.2,https://www.holidify.com/places/mcleodganj/bhagsunath-temple-sightseeing-2818.html,3 km  from city center,,"This temple is located at a height of 1770 m above sea level. Surrounded by beautiful pools and lush greenery, this temple attracts a lot of devotees and tourists throughout the year."
15,"Tibet museum, Mcleodganj",3.2,https://www.holidify.com/places/mcleodganj/tibetan-museum-sightseeing-2834.html,2 km  from city center,,"This museum is located inside the Tsuglagkhang complex and has a collection of brilliant forms of Tibetan Art, which include history documents, pottery, handicrafts, paintings etc."
16,Dalai Lama Temple,,https://www.holidify.com/places/dharamsala/dalai-lama-temple-sightseeing-120955.html,1 km  from city center,,"Replete with Tibetan culture, Dalai Lama Temple Complex also known as Tsuglakhang Temple is a politico- religious centre in Dharamsala. Ideal for peaceful meditation and religious rumination, the temple is full of lamas at all points of the day chanting on prayer wheels or beads."
17,Kangra art museum,3.2,https://www.holidify.com/places/kangra/kangra-art-museum-sightseeing-4858.html,3 km  from city center,,The Kangra Museum is dedicated to the brilliant marvels of Tibetan and Buddhist artwork and their rich history. Its is situated near the bus station of Dharamshala.
18,Masroor Rock Cut Temple,,https://www.holidify.com/places/dharamsala/masroor-rock-cut-temple-sightseeing-120957.html,24 km  from city center,,"Situated 32 kms from Kangra in Dharamsala on the Nagrota- Surian Link Road, Masroor Rock Cut Temple is an archaeological site which is currently in ruins. The complex is a combination of 15 rock cut temples designed in the Indo- Aryan style of architecture, believed to have been built in the 8th century (as per relics)."
19,Aghanjar Mahadev Temple,,https://www.holidify.com/places/dharamsala/aghanjar-mahadev-temple-sightseeing-120956.html,5 km  from city center,,"Located 5 kms away from the town of Dharamsala in Khaniyara, at the foothills of Dhauladhar, Aghanjar Mahadev Temple is dedicated to Lord Shiva. Believed to have been built around 500 years ago, the temple is nestled amidst bounteous forests and emerald mountain peaks."
20,Camping in Dharamshala,,https://www.holidify.com/places/dharamsala/camping-in-dharamshala-sightseeing-1257381.html,21 out of 22  places to visit in Dharamshala,,"A trip to the mountains is incomplete without experience the joy of camping under the stars. And Dharamshala is one of the most popular destinations when it comes to adventure activities especially camping. Tucked up amidst the scintillating Dhauladhar mountain ranges, the place provides a camping like no place else. You can pitch your tent under the clear night skies and watch the splattered twinkling stars. There are several camping sites are organized by firms which also provide fooding, lodging, bonfires, games and other outdoor activities."
21,Kalachakra Temple,,https://www.holidify.com/places/dharamsala/kalachakra-temple-sightseeing-1257507.html,2 km  from city center,,"Located inside the Thekchen Chöling temple complex in Mcleodganj near Dharamsala, Kalachakra Temple is a popular Tibetan temple which was built in 1992. Kalachakra Temple is situated on the west side of the Tsuglagkhang Temple, the shrine is known for housing the stunning murals of Kalachakra (Wheel of Time) which are linked to the Avalokitesvara, of whom Dalai Lama is a manifestation. Used as a centre of public teaching by Dalai Lama himself, the stunning temple is an architectural marvel and boasts of Tibet’s rich ethnicity and artistic prowess."
