,business_status,formatted_address,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,tag,price_level,results
10,CLOSED_TEMPORARILY,"Waterfalls Rd, Kulem, Goa 403410, India","{'location': {'lat': 15.3375293, 'lng': 74.244951}, 'viewport': {'northeast': {'lat': 15.33883167989272, 'lng': 74.24642892989273}, 'southwest': {'lat': 15.33613202010728, 'lng': 74.24372927010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/camping-71.png,e522edaf01af0d6db588bcd1b366490adea76a06,Jungle Book / Jungle Cafe,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111223784667509958566"">Navin Matonkar</a>'], 'photo_reference': 'CmRaAAAA2Via15jnpGC6Zdl8GrHCuE86gQP_t-3BZIqJjkPm7DIr-IsVJxCFE6kZ8Sff3HHH6VndQHB_TEG3y79YMcMvI7T5DEQItMLs7FZuyEtokVDmRU5Mj6aOI5PZhK__QxzPEhCJ7zsvqf32ilu-KsjxkZniGhSeSvZYnps67X6jQREsfNGqJTvKZQ', 'width': 4000}]",ChIJ_Z0nmhMHvzsRN_MpOVMq4t4,"{'compound_code': '86QV+2X Kulem, Goa', 'global_code': '7J7P86QV+2X'}",4,ChIJ_Z0nmhMHvzsRN_MpOVMq4t4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",2043,TRUE,campground,,
11,CLOSED_TEMPORARILY,"Unnamed Road, Parra,, Goa 403509, India","{'location': {'lat': 15.5794189, 'lng': 73.7784552}, 'viewport': {'northeast': {'lat': 15.58077337989272, 'lng': 73.77982247989273}, 'southwest': {'lat': 15.57807372010727, 'lng': 73.77712282010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/camping-71.png,2212b38f53895159a96a00c2bfdb32d1ea17427e,Parra Ground,,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112312642166825392456"">A Google User</a>'], 'photo_reference': 'CmRaAAAAhEa9Zf0ALJg96gM0cCIOkGXLZMBwVxdBXRpSt79C7hoSz_r7bWWNvtzRuaHoTYPk2cSaBq1y4fXkCyvxrZsoZy092M0C84p-CVPjvkJ_M8BXpSxE4oIaad4IRs7sQUKVEhBFP8T6zk80skDLXROHqj5QGhREOdXkuWvJ2qAiYlT3tim_gXAHig', 'width': 2560}]",ChIJFX-l60XqvzsRqvRF97TcKS4,"{'compound_code': 'HQHH+Q9 Parra, Goa', 'global_code': '7J7MHQHH+Q9'}",4,ChIJFX-l60XqvzsRqvRF97TcKS4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",24,TRUE,campground,,
12,OPERATIONAL,"Colva Beach Rd, Mungul, Margao, Goa 403601, India","{'location': {'lat': 15.2820145, 'lng': 73.9522903}, 'viewport': {'northeast': {'lat': 15.28339522989272, 'lng': 73.95363962989272}, 'southwest': {'lat': 15.28069557010728, 'lng': 73.95093997010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/camping-71.png,20d74bf380863758ef2659553b39e5c3051a3ef2,Roque Santana Cotta Farm Grove,{'open_now': True},"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106790617452507596881"">A Google User</a>'], 'photo_reference': 'CmRaAAAA5ixrAwrj_D_XhchIeUa2AV15gn0_fxD-MoMfBW2rN-P2NifJiu3hh1h9c9izAldNsest1c6X-ECYEiAtgXpL6lmjI7krPSkuQf1GLO1-92J72-xr30DIIb9yDj15wMyMEhBtpiV_1o4KuwPQW81yRfkuGhRjxfpALB5XBCNUtcR7-_O5p8wFdg', 'width': 1600}]",ChIJs8rA7eOzvzsRSCqTBcYRTA4,"{'compound_code': '7XJ2+RW Margao, Goa', 'global_code': '7J7M7XJ2+RW'}",4,ChIJs8rA7eOzvzsRSCqTBcYRTA4,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",29,,campground,,
13,CLOSED_TEMPORARILY,"Govt. School Road Satchebhatle, Mandrem, Mandrem, Goa 403512, India","{'location': {'lat': 15.6631077, 'lng': 73.7419017}, 'viewport': {'northeast': {'lat': 15.66455352989272, 'lng': 73.74327282989272}, 'southwest': {'lat': 15.66185387010728, 'lng': 73.74057317010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/camping-71.png,787fd1b62da387ff707717883c7bb8a708dc9d73,The Moustache Mermaid Camping,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116263119386516578187"">hemant dixit</a>'], 'photo_reference': 'CmRaAAAAYyhuZyZ28jF8VOYh86eZtVm3eII7FHzJG2WxKbaBY-EZoo-ydeFm6RkRGGQ93KXOMjSbuI-piQE6qenhALnqYE0znkDJMBfZr0TcCXOBX81CzhYjJJhktMR4ZvZD0TACEhCWbKZFVOGn-UAmha_NjvuKGhSkQAFsZ0u6F_gki6pC8DuS3a2dvQ', 'width': 1600}]",ChIJbaJK-GTvvzsRmeuDTQ9zubY,"{'compound_code': 'MP7R+6Q Mandrem, Goa', 'global_code': '7J7MMP7R+6Q'}",5,ChIJbaJK-GTvvzsRmeuDTQ9zubY,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",1,TRUE,campground,,
14,CLOSED_TEMPORARILY,"SY 408 - Hankon village, Karwar Taluka,, Karwar, Karnataka 581317, India","{'location': {'lat': 14.890661, 'lng': 74.203214}, 'viewport': {'northeast': {'lat': 14.89200452989272, 'lng': 74.20453567989271}, 'southwest': {'lat': 14.88930487010728, 'lng': 74.20183602010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/camping-71.png,6f9e5d9e9cf193693612edde5c1a8692e6ddbd14,Camp Riveredge Paradise,,"[{'height': 410, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113861171852362422917"">Riveredge Paradise Resort</a>'], 'photo_reference': 'CmRZAAAAubKTiTvVl2CdGyQOw7VDOKyCYu0GIzNGkKyOaOq4TQB5P_tfyb_RVRux3qA6ZgcS5DdMciX-1A3NSYCstMGVJPSNeAxRFHCPw3aLIaDdiSP2E703B2fq1-Kg-VL35vvvEhB8B14rYdXh8Z3PFoy2O_gSGhTCnxw0dsSltRBAofRtjUb0hMnC9w', 'width': 728}]",ChIJ10ABGs5gvjsRZcsHwXF7GGE,"{'compound_code': 'V6R3+77 Karwar, Karnataka', 'global_code': '7J6PV6R3+77'}",4.5,ChIJ10ABGs5gvjsRZcsHwXF7GGE,"['campground', 'rv_park', 'lodging', 'park', 'point_of_interest', 'establishment']",60,TRUE,campground,,
15,CLOSED_TEMPORARILY,"109/3 Guruwal, Agonda, Goa 403702, India","{'location': {'lat': 15.0365232, 'lng': 74.0008825}, 'viewport': {'northeast': {'lat': 15.03749167989272, 'lng': 74.00222697989271}, 'southwest': {'lat': 15.03479202010728, 'lng': 73.99952732010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,48ed78c7e71640efce36eb62b6c185c4cd5d63ad,Credo Jungle Resort - Agonda,,"[{'height': 594, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102652345793598029977"">A Google User</a>'], 'photo_reference': 'CmRaAAAAmh5R4B3TYeMD5IQP3H4uUQqu0MKCYPynYdnyOK_TZUhxOyGCp7odYQEjeVawOOhdUXBY8eh_oka427D9vNueq1_KMPyAqURSy1bBdXiMWHW5iwOQ-6SWBOpceSUZR-rKEhBGrodTzcxRzRZnsX5BP0yhGhTLUDwWV3Adg_j964-Ew4eP8Fxwxw', 'width': 960}]",ChIJAxsNA5RPvjsRipzHgoQz0zI,"{'compound_code': '22P2+J9 Agonda, Goa', 'global_code': '7J7P22P2+J9'}",4.4,ChIJAxsNA5RPvjsRipzHgoQz0zI,"['campground', 'lodging', 'park', 'restaurant', 'food', 'point_of_interest', 'establishment']",83,TRUE,campground,,
16,CLOSED_TEMPORARILY,"H.No. 1513, Polem Beach, Loliem, Canacona, Goa 403728, India","{'location': {'lat': 14.9100386, 'lng': 74.0807066}, 'viewport': {'northeast': {'lat': 14.91187112989272, 'lng': 74.08251557989271}, 'southwest': {'lat': 14.90917147010728, 'lng': 74.07981592010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,c4a568c85f0f11c0dead50326c16fedbb388411e,Kamaxi Beach Resort,,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101960164528639265297"">akash pathade</a>'], 'photo_reference': 'CmRaAAAABKjSk_Yhh0pHSbypV2cqcCxJgGsiHMNKGW56BI-NifG1hNdM4ppvlwHWULppPdyAQRcpT-cYXB-oFgNNg0H6hHbTPOpXdTCW-M1QX4zNcRuplZekYf8IC0V35UzKGDOWEhCcYX2coLZE8I4qgdd74-2sGhS1nKNbedhEfJ0W9CouT7Uq0ncMMg', 'width': 4160}]",ChIJ4bKFE15cvjsRw4VKytp5XeY,"{'compound_code': 'W36J+27 Canacona, Goa', 'global_code': '7J6PW36J+27'}",3.9,ChIJ4bKFE15cvjsRw4VKytp5XeY,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",377,TRUE,campground,,
17,OPERATIONAL,"H.No-774/3,flea market road Near Joe Bananas, close to Curlies St Micheal vaddo, Anjuna, Goa 403509, India","{'location': {'lat': 15.570341, 'lng': 73.7447928}, 'viewport': {'northeast': {'lat': 15.57168772989272, 'lng': 73.74628557989273}, 'southwest': {'lat': 15.56898807010728, 'lng': 73.74358592010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,bb255ad13108f3e90746cada8580dddca1bd642c,Roma John Guest House,{'open_now': True},"[{'height': 667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108352823197357488306"">A Google User</a>'], 'photo_reference': 'CmRaAAAAHhjl2j3N4VDSV_1TxYHGZyvSuYzEORSd0Suh3dztzCFqxrKgGrCw4W1ZnrKaFV89ZKU-iMpMBlmjQckfr0nuzFNAtq9IXeTliM3xmRZpiT28TOego97N4I9XigT9FjNSEhDB_36zg7rid1ShI1gcZ8P2GhT-kqGMs7cqIQjx4j5XxPwWQIyAKQ', 'width': 1000}]",ChIJt_n1rIvpvzsRBVPcONnIjyQ,"{'compound_code': 'HPCV+4W Anjuna, Goa', 'global_code': '7J7MHPCV+4W'}",4.5,ChIJt_n1rIvpvzsRBVPcONnIjyQ,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",34,,campground,,
18,OPERATIONAL,"Fatrade Rd, Fatrade, Varca, Goa 403721, India","{'location': {'lat': 15.2261221, 'lng': 73.93427989999999}, 'viewport': {'northeast': {'lat': 15.22754937989272, 'lng': 73.93556817989273}, 'southwest': {'lat': 15.22484972010728, 'lng': 73.93286852010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,d517b20ca9e918add8c4f3bef92ff28fff13de37,Asian Holiday Homes,{'open_now': True},"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106759520494325765688"">A Google User</a>'], 'photo_reference': 'CmRaAAAA7pkLiHz2Dr_abPeMhDTSOoPWQ_oBgU8MmXJj6QvoP2jfQk_MQ9fzQromxMESo44m7d3NhXlH2pQtuarcTu2dk6G4b2G25Uo1kuhpOzB9mokbcWclE9BYDPoaYPkRhZg-EhBGp5kzrhxs3JwGkkcuYHegGhTDMWn2ak8bMOwbCjbrEaBECP0JEg', 'width': 1200}]",ChIJSyqdgcq1vzsRM6cH42BX6UQ,"{'compound_code': '6WGM+CP Varca, Goa', 'global_code': '7J7M6WGM+CP'}",5,ChIJSyqdgcq1vzsRM6cH42BX6UQ,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",1,,campground,,
19,OPERATIONAL,"Near Goan Cafe, Vithaldas Vaddo, Morjim Beach Road, Morjim, Goa 403512, India","{'location': {'lat': 15.6261124, 'lng': 73.73062089999999}, 'viewport': {'northeast': {'lat': 15.62748902989272, 'lng': 73.73195237989272}, 'southwest': {'lat': 15.62478937010728, 'lng': 73.72925272010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,0aa0d5cd89a760c5255221f80eaba13b9f3d5824,Lobos Paradise || Beach Resort,{'open_now': True},,ChIJ63__9k3pvzsRcL9boKxr0fQ,"{'compound_code': 'JPGJ+C6 Morjim, Goa', 'global_code': '7J7MJPGJ+C6'}",5,ChIJ63__9k3pvzsRcL9boKxr0fQ,"['campground', 'lodging', 'park', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,,campground,,
20,CLOSED_TEMPORARILY,"lakhere, Borden, Bicholim, Goa 403504, India","{'location': {'lat': 15.5968166, 'lng': 73.96142069999999}, 'viewport': {'northeast': {'lat': 15.59793302989272, 'lng': 73.96243777989272}, 'southwest': {'lat': 15.59523337010728, 'lng': 73.95973812010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/camping-71.png,5a3ca2f55d14153b71a1b57fbb68d4744591057e,jiya Farm With Swimming Pool,,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106924878859180321706"">A Google User</a>'], 'photo_reference': 'CmRaAAAA26qMg8XAmwCXvS-6sQgeoSV_imtZKtWZmHf48h3efQx_eRH9jhV6QaJBU1L_hXWWp9OteDLEurVgWjh7iWRZJcOvtNqXj62hD2UVYQrrmSXXSIPrahUs89wW-OsKVdknEhCIjteSOsj4P18G4Te9D-3uGhSgCGaVOBU0mkUksX0PMMgYZBb0aQ', 'width': 4000}]",ChIJt6LhBWWXvzsRMgOT4ZvjCpw,"{'compound_code': 'HXW6+PH Borden, Bicholim, Goa', 'global_code': '7J7MHXW6+PH'}",4,ChIJt6LhBWWXvzsRMgOT4ZvjCpw,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",4,TRUE,campground,,
21,OPERATIONAL,"Junas Waddo, next to Dunes Holiday Village, Mandrem, Goa 403527, India","{'location': {'lat': 15.664785, 'lng': 73.71391299999999}, 'viewport': {'northeast': {'lat': 15.66613702989272, 'lng': 73.71530717989272}, 'southwest': {'lat': 15.66343737010728, 'lng': 73.71260752010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,6ee8288d856130d680bf26cfef8f32f5481ba046,Olive House,{'open_now': True},"[{'height': 667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105361288921527436970"">Mighty Magpie</a>'], 'photo_reference': 'CmRaAAAAOnvvXKRmPGd5Q1Vg5qhyUjZg9RAvdzRjX7rEjkZbu6dZjeabUFuiev8ZVPl-2k-EFAqAcIhGNUg8s2Y-pH02CtZi4J0fE9-tsd-e5vDrR7Sj4MbeY3KRRRZv2YMB6P46EhDs1XtHiFTmT-Ue6jCGkt__GhQzHVIQyTFL7NWIlu2hnjpXKhzQDA', 'width': 1000}]",ChIJ26v_we_uvzsR_a1Smak3d0Y,"{'compound_code': 'MP77+WH Mandrem, Goa', 'global_code': '7J7MMP77+WH'}",4.2,ChIJ26v_we_uvzsR_a1Smak3d0Y,"['car_rental', 'campground', 'lodging', 'park', 'point_of_interest', 'establishment']",6,,campground,,
