,business_status,formatted_address,geometry,icon,id,name,permanently_closed,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,tag,price_level,results
10,OPERATIONAL,"Shankar Vihar Extension, Jamna Puri, Jaipur, Rajasthan 302032, India","{'location': {'lat': 26.9908801, 'lng': 75.7444185}, 'viewport': {'northeast': {'lat': 26.99224477989272, 'lng': 75.74570082989273}, 'southwest': {'lat': 26.98954512010728, 'lng': 75.74300117010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,432c5313ae22c2183838a3bf8094569aec76a062,Krishna Water Park And Resort,,"[{'height': 853, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109248501146322598327"">krishan yadav</a>'], 'photo_reference': 'CmRaAAAAigFHzgcU8qMzTWFbaDHF9NdulpalzHU1aD0y67IaydMtYR2_NcTGFBkU9eMK52Pc8u0KeVGA1G39AE2xKWIsLXZ7h9bMDTWGZNMi-JeYfoC7A0KuHhOeglwgqVmLwmdPEhCSnRdXirAHpDBq43ngc7rTGhTgjn4soMZzcQc5TBXK4hb5IMdDww', 'width': 1280}]",ChIJ0d3DtKezbTkRrPXtytHvC0k,"{'compound_code': 'XPRV+9Q Jamna Puri, Jaipur, Rajasthan', 'global_code': '7JRQXPRV+9Q'}",4.0,ChIJ0d3DtKezbTkRrPXtytHvC0k,"['amusement_park', 'point_of_interest', 'establishment']",91.0,{'open_now': True},amusement_park,,
11,OPERATIONAL,"D-601 UDB Orchid, Jaipur, Rajasthan 302026, India","{'location': {'lat': 26.860615, 'lng': 75.668633}, 'viewport': {'northeast': {'lat': 26.86189307989272, 'lng': 75.66988407989273}, 'southwest': {'lat': 26.85919342010728, 'lng': 75.66718442010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,dbc3b1f2f462ca5f4e6aba5749d5b47f63868bf0,Pink Pearl Water Park,,"[{'height': 452, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106151598697364163160"">MUKESH ROLANIA</a>'], 'photo_reference': 'CmRaAAAAFA3zX53RXexwL1ccfwZeRzHJzQjNb0CYaDtVed5QBxWbXpNUrXyKc2v5bbKg8AX4HIUh9xyZL_TgO5ulfLr5Y7McMAl7bZeIp4NN-ueNTOGg3iqA8QbMSr1JzIP-jvC-EhA3MM9Bs8tS5HwB4zAXcW8zGhSKBN6BCZ8-MBe-QjbCynKMy7Cm2w', 'width': 678}]",ChIJRcCiQVpLbDkROxMre9xEzq0,"{'compound_code': 'VM69+6F Jaipur, Rajasthan', 'global_code': '7JRQVM69+6F'}",4.0,ChIJRcCiQVpLbDkROxMre9xEzq0,"['amusement_park', 'point_of_interest', 'establishment']",713.0,{'open_now': True},amusement_park,,
12,CLOSED_TEMPORARILY,"Adarsh Krishna Nagar, Kartarpur, Gopal Pura Mode, Jaipur, Rajasthan 302015, India","{'location': {'lat': 26.8837582, 'lng': 75.786033}, 'viewport': {'northeast': {'lat': 26.88507542989272, 'lng': 75.78747932989273}, 'southwest': {'lat': 26.88237577010728, 'lng': 75.78477967010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,8ecaaa95a11322b87fcf3172a7057ee8d70c38dc,Water Tank,True,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113009822060391879115"">A Google User</a>'], 'photo_reference': 'CmRaAAAAYkIuHfAjgQygSS-P2FmB9Q_vr_afuUfab4E8mzSs6VY6Wu4Mdt5K2Sbk0TwTWNiMd2C9n4qRGp5y58gMGHujiMd144JKiXKlZyXDrR0C33EL8xR8CMJ0GwguS0GJO5aWEhC6l_oiN66_0iXvqrL8rGjTGhRaLoUCTHE3grzvTKNYkvJ_dNFjxg', 'width': 3120}]",ChIJpXT_Lji0bTkR8jw0t0ngogY,"{'compound_code': 'VQMP+GC Gopal Pura Mode, Jaipur, Rajasthan', 'global_code': '7JRQVQMP+GC'}",4.0,ChIJpXT_Lji0bTkR8jw0t0ngogY,"['premise', 'amusement_park', 'point_of_interest', 'establishment']",178.0,,amusement_park,,
13,OPERATIONAL,"Sikar Rd, opp. Sun city, Jaipur, Rajasthan 302013, India","{'location': {'lat': 27.0445397, 'lng': 75.7607}, 'viewport': {'northeast': {'lat': 27.04585157989272, 'lng': 75.76222892989271}, 'southwest': {'lat': 27.04315192010728, 'lng': 75.75952927010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,9103bf88207dc5550f38e08d8f89d33cd5eb763c,Hotel Mauj Mahal Water Park & Fun Resort,,"[{'height': 632, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115173481466350271043"">A Google User</a>'], 'photo_reference': 'CmRaAAAAVUYo-pmQAEbc_2sr5Wi1nf4EoiPPcgx7rYuMbxfrojjAFioHhdX_WFOqrA16P8dUV1XF51HOebdHhUzJimC6h74wMKyD5JBJDi0POIqYNAPSYHzra_wZzsFXQSBdPK1jEhDsUIGePhZTpe7wgGYOW8wGGhTVsk-_RVdPTulvl9TRlU3lfxiTxQ', 'width': 1128}]",ChIJXQ80MKitbTkRKrkozD-3c0k,"{'compound_code': '2QV6+R7 Jaipur, Rajasthan', 'global_code': '7JVQ2QV6+R7'}",3.9,ChIJXQ80MKitbTkRKrkozD-3c0k,"['amusement_park', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1372.0,{'open_now': True},amusement_park,,
14,CLOSED_TEMPORARILY,"Topkhana Hazuri, Jaipur, Rajasthan 302003, India","{'location': {'lat': 26.9137612, 'lng': 75.8400523}, 'viewport': {'northeast': {'lat': 26.91517527989272, 'lng': 75.84141257989272}, 'southwest': {'lat': 26.91247562010728, 'lng': 75.83871292010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,6cf9ce9c74fd42b41e6d3ce78f02ce9e7c0d852d,Wonderland Acedmy,True,,ChIJ58gKuc-2bTkR6hlf9o7SjoA,"{'compound_code': 'WR7R+G2 Topkhana Hazuri, Jaipur, Rajasthan', 'global_code': '7JRQWR7R+G2'}",4.5,ChIJ58gKuc-2bTkR6hlf9o7SjoA,"['school', 'point_of_interest', 'establishment']",2.0,,amusement_park,,
15,CLOSED_TEMPORARILY,"Eden Garden, 20th Milestone, Rajawas, Sikar Highway, Jaipur, Rajasthan 302021, India","{'location': {'lat': 27.066656, 'lng': 75.75224}, 'viewport': {'northeast': {'lat': 27.06836207989272, 'lng': 75.75362267989271}, 'southwest': {'lat': 27.06566242010728, 'lng': 75.75092302010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,2f43f446ff117349b858e523b06283ddc23df126,Angel Resort & Amusement Water Park,True,"[{'height': 715, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109499277498988384105"">Angel Resort &amp; Amusement Water Park</a>'], 'photo_reference': 'CmRaAAAAnpV3ycJAdWYLf3IJ2gr3ggXUcJyURsaoppiGw5-hQPwqnHic4AQqvTLFku_iWsS7fwmBG54jrPSxofRzPw6KGvHVfGuXRSdhbsp5Bn006z67wV5J9-4f5kkwUrHyDdycEhALtqQ_v56a23Lh-fo80kb8GhTCNfzwzreD8hNZsuuIqle1rC0kow', 'width': 1272}]",ChIJk8n8-PCsbTkRJlR6FwNN7U0,"{'compound_code': '3Q82+MV Rajawas, Rajasthan', 'global_code': '7JVQ3Q82+MV'}",3.8,ChIJk8n8-PCsbTkRJlR6FwNN7U0,"['amusement_park', 'lodging', 'point_of_interest', 'establishment']",1365.0,,amusement_park,,
16,CLOSED_TEMPORARILY,"Bandi Puliya Near Toll Plaza At Tatiawas, Sikar Road, Jaipur, Rajasthan 302013, India","{'location': {'lat': 27.081148, 'lng': 75.74522}, 'viewport': {'northeast': {'lat': 27.08243717989272, 'lng': 75.74699442989272}, 'southwest': {'lat': 27.07973752010727, 'lng': 75.74429477010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,9221e312d84867c8d72432e037ab275517824571,Sun Shine Resort And Water Park,True,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102446091013166805847"">Sun Shine Resort</a>'], 'photo_reference': 'CmRaAAAAVuX-hmDUdCRF5sleg5oVbbCMaNXWftVDjGsE4XAoIoM6iIdpyZJ2VqU9zi5YQNPcM8jtFuPaY47_iB-vIrBWq1knZNiLhYJKJDFsZK7Ku_Cvra0iy7EopoOGXpF7-u_LEhAePMe9VkrS8U2Eau8UYoFNGhR0mR4f4Ndo5NAvR8tMR3cZm_LIPg', 'width': 1280}]",ChIJpdwhRWWybTkRtqDKp0Azbpo,"{'compound_code': '3PJW+F3 Tantyawas, Rajasthan', 'global_code': '7JVQ3PJW+F3'}",3.8,ChIJpdwhRWWybTkRtqDKp0Azbpo,"['amusement_park', 'lodging', 'point_of_interest', 'establishment']",534.0,,amusement_park,,
17,CLOSED_TEMPORARILY,"CISF Rd, Kunda, Amer, Jaipur, Rajasthan 302028, India","{'location': {'lat': 26.9984442, 'lng': 75.8843428}, 'viewport': {'northeast': {'lat': 26.99980377989273, 'lng': 75.88570957989273}, 'southwest': {'lat': 26.99710412010728, 'lng': 75.88300992010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,5dd8fe70a98d8143aedea25d2045fe8e52c7f329,Eleday,True,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115865499551392376775"">eleday</a>'], 'photo_reference': 'CmRaAAAAatJZrLVjWP-WOlhg31pGr8ezley-wm84DYZXqTvlU9_JzgGCQ5s_3icejcp2jFAa_dbXTgd2r3BybeEGpw1CLqyoepI6va_JFXjKJiFEmQsbS-BL7I0TV2MbzOf3ilE2EhBFuj8wJ5ltbATw1oJtnOhhGhQiyowjRrJUNE2NkLyj7G2aBauEuA', 'width': 2712}]",ChIJ7Y-7kmqwbTkRRNgzMJPj874,"{'compound_code': 'XVXM+9P Amer, Jaipur, Rajasthan', 'global_code': '7JRQXVXM+9P'}",4.2,ChIJ7Y-7kmqwbTkRRNgzMJPj874,"['travel_agency', 'park', 'point_of_interest', 'establishment']",171.0,,amusement_park,,
18,CLOSED_TEMPORARILY,"NH - 8, Ajmer-Jaipur Expressway Near Mahapura, Mod, Bhakrota, Jaipur, Rajasthan 302026, India","{'location': {'lat': 26.860591, 'lng': 75.6686362}, 'viewport': {'northeast': {'lat': 26.86188107989272, 'lng': 75.66988567989273}, 'southwest': {'lat': 26.85918142010728, 'lng': 75.66718602010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,5c1842da5291eb9630a21ee96fbf558e8bd448f8,Pink Pearl Resort and Fun City,True,"[{'height': 614, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106984609350922119515"">A Google User</a>'], 'photo_reference': 'CmRaAAAA5_gZgCdqsR8K0E2tZV0RrKuB87KrHGItnq361U1Y_zAhd2DsCjSvwUuKrSMx3K9Ze1A-A3xofPYVAF1aouawhG2ox1ye9OE3ARLZbyRIm0KGXWxOCZlVCnXB-_hgMAcTEhARGmrZTmWIJ3PoxHxUxsP6GhQClARG1M01FtTl4blrIUyIWPScjA', 'width': 920}]",ChIJXdeACAhLbDkR2gUAEUceB9k,"{'compound_code': 'VM69+6F Bhakrota, Jaipur, Rajasthan', 'global_code': '7JRQVM69+6F'}",3.9,ChIJXdeACAhLbDkR2gUAEUceB9k,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",4592.0,,amusement_park,,
19,CLOSED_TEMPORARILY,"Near, Gaurav Tower, GT Central Mall, Jawahar Lal Nehru Marg, D-Block, Crystal Court, Malviya Nagar, Jaipur, Rajasthan 302017, India","{'location': {'lat': 26.8564012, 'lng': 75.80604559999999}, 'viewport': {'northeast': {'lat': 26.85783097989272, 'lng': 75.80741362989271}, 'southwest': {'lat': 26.85513132010728, 'lng': 75.80471397010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3a91f3ba4e1b54c40b1872b3f0379b23ef005655,Mastiii Zone Flavors GT Central Jaipur,True,"[{'height': 528, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101602229557856307312"">A Google User</a>'], 'photo_reference': 'CmRaAAAAgllKbsGtqZrceoNk6KbsnR1hpBjgqes3jnhzv3A4hrjUwQuWFKjy5ipDe-vZ8Mo2v_kGR1z7SAnXYsm6evVPgP7tgtHOcwbjsjjJcXb14zLTov0kFB-nY1-wPKXsH5A4EhBlV4wIS3RYQFYkBXx_WVmTGhTgVZ165ufix7nR642dW2mtmExYVw', 'width': 939}]",ChIJBwAwTd-1bTkR5WPAyH6b20c,"{'compound_code': 'VR44+HC Malviya Nagar, Jaipur, Rajasthan', 'global_code': '7JRQVR44+HC'}",4.3,ChIJBwAwTd-1bTkR5WPAyH6b20c,"['bowling_alley', 'point_of_interest', 'establishment']",1811.0,,amusement_park,,
20,CLOSED_TEMPORARILY,"1308, Baba Harishchandra Marg, Chandpol Bazar, Chandpole Bazar, Chandpole, Chandpol, Jaipur, Rajasthan 302001, India","{'location': {'lat': 26.923988, 'lng': 75.815456}, 'viewport': {'northeast': {'lat': 26.92532642989272, 'lng': 75.81687147989271}, 'southwest': {'lat': 26.92262677010727, 'lng': 75.81417182010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/camping-71.png,af95b85b0054e0e933cde0e63e5267efe58ee3f0,Desert Safari packages/Jaisalmer tour packages/Desert camp in Jaisalmer,True,"[{'height': 909, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105255235337274769421"">A Google User</a>'], 'photo_reference': 'CmRaAAAAmDEapik8_5pbhFfmRxQtEWuhefpVdcBhojtRQZ7cg5prUjOcqeKBbPDfEbDsgLDZ1d3Ia-7_iPWSevvCdGuEl21EI4mOskGEodYSWM19KcfBAel8H0eUjFE6f9eo_wnrEhAc_9tXE7V-rfuWjauCV62LGhRuNVg9bJG4-Bwi3SP1DzftRymtZQ', 'width': 1600}]",ChIJpfd2q1OxbTkRhSFteqNSL7Y,"{'compound_code': 'WRF8+H5 Chandpol, Jaipur, Rajasthan', 'global_code': '7JRQWRF8+H5'}",5.0,ChIJpfd2q1OxbTkRhSFteqNSL7Y,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",19.0,,campground,,
